siteid,sitename_x,station_code,lat_x,lon_x,monitordate,PM10,O3,CO,SO2,WS_HR,RH,PM2.5,CH4,AMB_TEMP,WIND_SPEED,NMHC,THC,NO2,NO,NOx,system:index,Albedo,BSI,EVI,LST_C,MNDWI,NDBI,NDVI,NDWI,SAVI,image_date,image_id,lat_y,lon_y,month,sitename_y,year,.geo,date_diff_days
6,Banqiao,6,25.012972,121.458667,05/03/2025,31,40,0.43,1.3,1.1,57,16.9,2.15,27.6,1.5,0.11,2.27,16,0.8,17,1_LC08_117043_20250228_4_0,0.109904618,-0.014461324,0.256769,32.79522434,-0.480492908,-0.059671308,0.513735633,-0.525108493,0.249717793,28/02/2025,1_LC08_117043_20250228,25.012972,121.458667,2,Banqiao,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",-5
6,Banqiao,6,25.012972,121.458667,06/03/2025,14,26,0.28,1.3,1,83,3.4,2,27.1,1.4,0.08,2.09,13,1.8,15,1_LC08_117043_20250228_4_0,0.109904618,-0.014461324,0.256769,32.79522434,-0.480492908,-0.059671308,0.513735633,-0.525108493,0.249717793,28/02/2025,1_LC08_117043_20250228,25.012972,121.458667,2,Banqiao,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",-6
6,Banqiao,6,25.012972,121.458667,07/03/2025,14,25,0.21,0.2,1.9,58,5.8,1.96,32.1,2.2,0.02,1.98,7,1.6,8.7,1_LC08_117043_20250228_4_0,0.109904618,-0.014461324,0.256769,32.79522434,-0.480492908,-0.059671308,0.513735633,-0.525108493,0.249717793,28/02/2025,1_LC08_117043_20250228,25.012972,121.458667,2,Banqiao,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",-7
6,Banqiao,6,25.012972,121.458667,08/03/2025,11,16,0.27,0.5,1.5,68,2.4,2.06,30.7,1.6,0.05,2.12,7,1.7,9.6,1_LC08_117043_20250228_4_0,0.109904618,-0.014461324,0.256769,32.79522434,-0.480492908,-0.059671308,0.513735633,-0.525108493,0.249717793,28/02/2025,1_LC08_117043_20250228,25.012972,121.458667,2,Banqiao,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",-8
6,Banqiao,6,25.012972,121.458667,05/07/2025,24,48,0.32,0.8,1.7,88,12,2.06,21.7,2.1,0.05,2.11,12,0.3,12.7,2_LC09_117043_20250628_4_0,0.136716953,-0.109109375,0.356123927,51.76181732,-0.43685658,-0.169329735,0.577871851,-0.564433578,0.327840388,28/06/2025,2_LC09_117043_20250628,25.012972,121.458667,6,Banqiao,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",-7
6,Banqiao,6,25.012972,121.458667,06/07/2025,23,26,0.49,0.6,0.7,86,12.4,2.12,28.4,1.1,0.18,2.31,18,3.1,21.6,2_LC09_117043_20250628_4_0,0.136716953,-0.109109375,0.356123927,51.76181732,-0.43685658,-0.169329735,0.577871851,-0.564433578,0.327840388,28/06/2025,2_LC09_117043_20250628,25.012972,121.458667,6,Banqiao,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",-8
6,Banqiao,6,25.012972,121.458667,05/04/2026,23,46,0.33,1.8,1.5,75,14.6,2.09,21,2.1,0.05,2.15,11,1.1,12.6,2_LC09_117043_20260412_4_0,0.13721649,-0.022261029,0.292911289,41.37445454,-0.365519326,-0.083002018,0.494357589,-0.435314409,0.280097821,12/04/2026,2_LC09_117043_20260412,25.012972,121.458667,4,Banqiao,2026,"{""type"":""MultiPoint"",""coordinates"":[]}",7
8,Cailiao,8,25.06895,121.481028,05/03/2025,34,44,0.41,0.9,1.1,56,20.7,0,28.4,1.4,0,0,17,1.2,19,1_LC08_117043_20250228_6_0,0.109951753,0.058925156,0.20851264,32.76104414,-0.438467492,0.027774342,0.426899336,-0.415756291,0.20420041,28/02/2025,1_LC08_117043_20250228,25.06895,121.481028,2,Cailiao,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",-5
8,Cailiao,8,25.06895,121.481028,06/03/2025,13,26,0.28,0.4,1.8,84,8.1,0,27.5,2.2,0,0,12,1.8,14.1,1_LC08_117043_20250228_6_0,0.109951753,0.058925156,0.20851264,32.76104414,-0.438467492,0.027774342,0.426899336,-0.415756291,0.20420041,28/02/2025,1_LC08_117043_20250228,25.06895,121.481028,2,Cailiao,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",-6
8,Cailiao,8,25.06895,121.481028,07/03/2025,21,27,0.19,0.5,3.1,61,7.6,0,32.2,3.4,0,0,6,1.5,7.7,1_LC08_117043_20250228_6_0,0.109951753,0.058925156,0.20851264,32.76104414,-0.438467492,0.027774342,0.426899336,-0.415756291,0.20420041,28/02/2025,1_LC08_117043_20250228,25.06895,121.481028,2,Cailiao,2025,"{""type"":""MultiPoint"",""coordinates"":[]}",-7
